,ID,AGE GROUP,CHANNEL OF SALE,SALES
270,982322775,56+,internet,0
271,570496910,36-45,phone,1
272,749086337,46-55,internet,0
273,317085225,46-55,phone,1
274,649715311,56+,internet,1
275,487730381,36-45,phone,0
276,598616033,36-45,phone,0
277,426889323,36-45,phone,1
278,829548938,36-45,phone,1
279,366277385,18-25,internet,0
280,888006409,26-35,internet,1
281,993820289,46-55,phone,1
282,563949237,46-55,phone,0
283,865745910,36-45,phone,1
284,734754766,56+,internet,1
285,810076007,26-35,internet,1
286,813727236,26-35,internet,1
287,490937926,56+,phone,1
288,715542591,56+,phone,0
289,758000487,26-35,phone,1
290,756679310,26-35,internet,1
291,990479247,36-45,phone,0
292,976803088,46-55,phone,0
293,621462938,36-45,phone,0
294,201516924,36-45,phone,0
295,378248754,26-35,internet,0
296,883987145,26-35,internet,0
297,602657463,18-25,internet,0
298,111238471,36-45,phone,1
299,578053766,36-45,phone,0
300,561315723,26-35,phone,1
301,727525372,26-35,internet,0
302,563710750,36-45,phone,1
303,780401594,26-35,internet,1
304,635854239,46-55,phone,1
305,856035865,18-25,internet,0
306,816558544,26-35,internet,1
307,246988504,18-25,internet,1
308,784645658,18-25,internet,0
309,550030216,56+,internet,1
310,630561493,18-25,internet,1
311,282505114,26-35,internet,0
312,705782176,26-35,phone,1
313,612457052,26-35,internet,0
314,849601632,36-45,phone,1
315,178624362,26-35,internet,1
316,348584404,26-35,phone,0
317,802663451,56+,phone,1
318,419341230,56+,phone,0
319,619631090,36-45,phone,1
320,965803820,26-35,internet,1
321,736872195,26-35,internet,1
322,269150617,26-35,internet,0
323,432717834,56+,internet,1
324,178763031,26-35,internet,1
325,105162840,46-55,phone,0
326,113087402,36-45,phone,0
327,553344311,36-45,internet,1
328,232860561,36-45,phone,0
329,632750136,26-35,phone,1
330,621352680,36-45,phone,0
331,352489996,18-25,internet,1
332,409611877,56+,phone,0
333,122043172,36-45,phone,0
334,787568529,26-35,internet,0
335,776830399,26-35,internet,0
336,165574776,26-35,phone,1
337,904176022,36-45,phone,0
338,689560991,18-25,internet,1
339,823756843,46-55,internet,1
340,957199769,26-35,internet,0
341,397780480,36-45,phone,1
342,360896704,36-45,phone,1
343,120733846,26-35,internet,0
344,994335175,26-35,internet,1
345,235549217,36-45,phone,0
346,543829971,26-35,phone,1
347,825467396,26-35,internet,1
348,485265369,56+,phone,1
349,164180427,36-45,internet,0
350,784872154,26-35,internet,1
351,974271462,26-35,internet,0
352,922990010,46-55,phone,0
353,906430139,46-55,phone,1
354,996206154,46-55,internet,1
355,233623469,26-35,internet,0
356,606815147,36-45,internet,1
357,724040129,36-45,phone,1
358,647533202,46-55,phone,0
359,386213492,46-55,phone,0
360,396884860,36-45,phone,0
361,862395869,26-35,internet,1
362,136246499,26-35,internet,1
363,803673135,26-35,internet,1
364,636251252,36-45,phone,0
365,719488197,18-25,phone,1
366,336085836,36-45,internet,0
367,852842589,26-35,internet,1
368,646663847,46-55,phone,0
369,335992937,18-25,internet,0
370,873763195,56+,phone,1
371,865433655,56+,internet,0
372,658148570,26-35,internet,0
373,870452839,26-35,internet,1
374,556697183,26-35,internet,1
375,935070818,18-25,internet,0
376,268216207,36-45,internet,0
377,867747167,26-35,phone,1
378,463586987,46-55,phone,1
379,193322508,26-35,internet,0
380,285197186,36-45,phone,0
381,373253700,26-35,internet,0
382,835675375,56+,phone,0
383,375550161,36-45,internet,1
384,796167285,18-25,internet,0
385,525492631,46-55,internet,0
386,698719731,26-35,internet,1
387,297923146,26-35,internet,0
388,289992507,36-45,phone,1
389,490406203,46-55,phone,0
390,187783650,56+,internet,0
391,441206359,56+,phone,0
392,825032179,26-35,phone,1
393,817667359,18-25,internet,0
394,846471627,56+,internet,0
395,248619442,46-55,phone,0
396,908331173,18-25,internet,0
397,731653108,36-45,phone,0
398,875997186,56+,phone,1
399,186068372,26-35,phone,1
400,723637419,18-25,internet,1
401,897662655,26-35,internet,0
402,400436990,18-25,phone,0
403,407525363,18-25,internet,0
404,775989849,46-55,internet,1
405,515799854,26-35,phone,1
406,305001465,36-45,phone,0
407,104560918,26-35,internet,0
408,528554939,26-35,internet,1
409,443370843,26-35,internet,0
410,650998233,26-35,internet,0
411,903370844,56+,internet,0
412,214844071,26-35,internet,1
413,413086693,36-45,phone,1
414,849211349,36-45,phone,0
415,232661203,46-55,phone,1
416,872047914,18-25,internet,1
417,522987787,36-45,phone,0
418,200106120,18-25,internet,0
419,797230738,26-35,internet,1
420,166347695,46-55,phone,0
421,981863371,26-35,internet,0
422,899292038,26-35,phone,0
423,780668127,56+,phone,0
424,597202629,46-55,phone,0
425,575297002,36-45,phone,1
426,830951374,46-55,internet,1
427,166122024,56+,internet,1
428,142097720,18-25,internet,0
429,351186265,26-35,internet,1
430,397761450,26-35,internet,0
431,754611732,36-45,phone,0
432,660751407,36-45,internet,1
433,756129437,46-55,phone,0
434,619108495,46-55,internet,0
435,796410934,36-45,phone,1
436,163472427,26-35,internet,0
437,449119136,18-25,internet,1
438,297347406,18-25,internet,1
439,904365291,26-35,internet,1
440,961323497,56+,phone,0
441,905055487,46-55,phone,1
442,744393784,26-35,internet,1
443,632436478,18-25,internet,1
444,431549180,56+,phone,0
445,961108432,26-35,phone,0
446,185682873,26-35,internet,1
447,381358885,36-45,phone,1
448,567876911,56+,internet,0
449,688122195,36-45,phone,0
450,532695318,46-55,phone,0
451,957881919,36-45,phone,1
452,135846278,56+,phone,1
453,499998499,26-35,internet,0
454,732933643,36-45,phone,0
455,869233643,46-55,phone,0
456,634073417,26-35,phone,1
457,395317222,56+,internet,0
458,744778854,26-35,internet,1
459,227218513,26-35,internet,0
460,812706464,26-35,internet,0
461,579232653,26-35,internet,0
462,851234473,46-55,phone,1
463,533464225,46-55,phone,0
464,872443447,18-25,internet,1
465,660049210,18-25,phone,0
466,640181080,26-35,internet,0
467,847104620,18-25,internet,1
468,780467399,36-45,phone,0
469,139809009,36-45,phone,0
470,922863155,26-35,internet,0
471,100158156,18-25,internet,0
472,729897182,26-35,internet,0
473,279722828,36-45,phone,0
474,695072449,18-25,phone,0
475,382208486,46-55,internet,1
476,336204604,26-35,internet,1
477,450096330,36-45,internet,0
478,828642687,26-35,internet,0
479,909735417,26-35,internet,0
480,696133107,46-55,phone,1
481,182133808,26-35,internet,1
482,315076914,46-55,internet,0
483,254151788,46-55,internet,1
484,923300447,26-35,internet,0
485,773395167,36-45,phone,0
486,896666981,46-55,phone,0
487,645523899,26-35,internet,1
488,716841164,36-45,phone,0
489,215894632,36-45,phone,1
490,850267641,56+,internet,1
491,500454392,26-35,internet,1
492,383845359,36-45,phone,0
493,157575548,36-45,phone,1
494,657894109,36-45,internet,1
495,766066600,36-45,phone,1
496,572101789,26-35,internet,0
497,476670640,18-25,internet,0
498,293434611,46-55,phone,0
499,583899674,26-35,phone,0
500,884845741,26-35,internet,1
501,962614072,26-35,internet,1
502,962723589,56+,phone,1
503,197548068,56+,phone,0
504,995011780,56+,phone,1
505,550471951,36-45,phone,1
506,296844762,18-25,phone,1
507,329450339,36-45,phone,0
508,328097724,46-55,internet,1
509,608933051,36-45,phone,1
510,740043052,18-25,internet,0
511,641379077,56+,phone,0
512,246816138,36-45,phone,0
513,705850039,18-25,internet,1
514,630305269,26-35,internet,0
515,460275845,18-25,internet,1
516,556713729,26-35,internet,0
517,583864092,36-45,phone,1
518,942262563,18-25,internet,0
519,929197308,36-45,phone,0
520,427525739,46-55,phone,1
521,905020329,18-25,internet,1
522,596231844,46-55,internet,1
523,608431950,46-55,phone,0
524,757345815,46-55,phone,0
525,932594958,36-45,internet,0
526,105991444,36-45,phone,1
527,100131968,26-35,phone,1
528,688072723,56+,phone,0
529,898993510,26-35,phone,0
530,321910894,36-45,internet,1
531,268583988,46-55,phone,1
532,778012822,36-45,phone,0
533,891561981,18-25,internet,1
534,939577242,26-35,internet,1
535,783410697,18-25,phone,0
536,116835959,36-45,phone,1
537,468201471,18-25,internet,0
538,398028110,46-55,phone,0
539,797633471,26-35,internet,1
540,263588682,56+,internet,1
541,226231634,36-45,internet,1
542,890156874,36-45,phone,0
543,314703039,36-45,phone,1
544,805590270,36-45,phone,0
545,242144534,26-35,internet,1
546,553685502,26-35,internet,1
547,942367108,56+,phone,1
548,394065475,26-35,phone,1
549,843390063,36-45,phone,1
550,609987601,36-45,phone,0
551,558459495,46-55,phone,1
552,670917168,18-25,internet,0
553,984988040,46-55,phone,1
554,724014338,18-25,internet,0
555,754689072,56+,phone,1
556,462613581,36-45,internet,1
557,476144210,26-35,internet,1
558,877935757,36-45,phone,0
559,415958863,36-45,phone,1
560,569494804,18-25,internet,1
561,649574603,36-45,phone,0
562,495375409,56+,phone,1
563,890100403,56+,phone,0
564,429537360,18-25,internet,0
565,580438655,36-45,phone,1
566,107941811,26-35,internet,0
567,302028521,56+,phone,1
568,983698410,36-45,phone,1
569,279501529,18-25,internet,1
570,771731406,56+,phone,1
571,758787121,26-35,internet,1
572,857396380,46-55,phone,0
573,285045557,26-35,internet,0
574,812442348,36-45,phone,0
575,776972207,46-55,phone,1
576,682999714,46-55,phone,1
577,436284574,56+,phone,0
578,848989788,56+,phone,0
579,744763381,36-45,phone,1
580,219195982,56+,internet,1
581,232806127,56+,phone,0
582,510115233,26-35,internet,0
583,298125401,56+,phone,1
584,839608926,26-35,internet,1
585,481519471,26-35,internet,0
586,402100762,36-45,internet,0
587,626647300,46-55,phone,1
588,405169355,56+,phone,0
589,873217569,46-55,phone,1
590,516160853,56+,internet,1
591,417944903,26-35,internet,1
592,665857023,56+,phone,0
593,885555726,46-55,internet,1
594,516522856,26-35,phone,1
595,336088194,18-25,internet,1
596,307830453,26-35,internet,1
597,393214221,46-55,phone,0
598,806962857,26-35,internet,0
599,182336225,26-35,internet,1
600,172492384,18-25,internet,1
601,861681358,46-55,internet,1
602,197939099,26-35,phone,0
603,191629624,36-45,phone,1
604,228791548,26-35,internet,1
605,754218248,46-55,internet,0
606,797160620,36-45,phone,0
607,341219858,36-45,phone,1
608,452962412,36-45,internet,1
609,489653942,36-45,phone,0
610,842278069,18-25,internet,0
611,245801419,36-45,phone,1
612,874823015,36-45,phone,1
613,415132607,46-55,phone,0
614,242409357,46-55,internet,0
615,696449882,26-35,phone,1
616,506081255,46-55,internet,0
617,829656171,36-45,phone,1
618,497023621,46-55,phone,1
619,227931466,26-35,phone,0
620,687047824,46-55,phone,1
621,276404567,26-35,internet,1
622,626711996,56+,internet,1
623,184874774,46-55,phone,1
624,736945597,36-45,phone,1
625,820326893,26-35,internet,0
626,322090864,46-55,phone,1
627,122514898,36-45,internet,1
628,168149901,36-45,phone,1
629,209074143,18-25,internet,0
630,826591140,36-45,phone,1
631,413461514,46-55,phone,1
632,291093330,26-35,internet,1
633,927974819,26-35,internet,1
634,733440352,36-45,phone,1
635,577690587,46-55,phone,0
636,451122444,26-35,internet,1
637,358384620,46-55,internet,1
638,438741890,26-35,internet,0
639,723143658,56+,phone,1
640,840674804,26-35,internet,1
641,457084182,36-45,phone,0
642,160776643,18-25,internet,1
643,549147894,46-55,internet,1
644,719462287,46-55,phone,1
645,116846397,36-45,phone,1
646,856027874,26-35,internet,0
647,765243618,36-45,phone,1
648,977615211,36-45,internet,0
649,632952850,26-35,internet,1
650,772549259,56+,phone,1
651,486163399,26-35,internet,0
652,398956450,36-45,phone,0
653,605220216,36-45,phone,1
654,532902762,36-45,phone,1
655,673162204,46-55,phone,0
656,947094731,36-45,phone,1
657,376364736,46-55,phone,1
658,216828158,36-45,phone,0
659,244302437,56+,internet,1
660,490684627,18-25,phone,0
661,318144850,26-35,internet,0
662,785566782,26-35,internet,0
663,706363082,26-35,internet,1
664,461725629,36-45,phone,0
665,383017910,26-35,internet,0
666,986862042,26-35,phone,1
667,684406520,36-45,phone,0
668,633451071,18-25,internet,0
669,396963759,46-55,phone,1
670,497577851,18-25,internet,0
671,279431692,46-55,phone,0
672,904714857,46-55,internet,0
673,526004406,36-45,internet,0
674,381582228,36-45,phone,1
675,208496265,36-45,phone,0
676,144365230,26-35,internet,1
677,516724844,36-45,phone,0
678,368495035,56+,internet,1
679,423280211,18-25,internet,1
680,260334978,36-45,phone,1
681,203988681,56+,phone,0
682,259294074,26-35,internet,1
683,336169043,36-45,internet,1
684,267851769,36-45,phone,0
685,763764550,46-55,phone,1
686,466761291,36-45,internet,1
687,369992291,26-35,phone,1
688,841671289,36-45,phone,1
689,521518516,56+,internet,0
690,383366564,36-45,phone,0
691,577303206,36-45,phone,1
692,238347498,36-45,phone,0
693,594397071,46-55,internet,1
694,833814645,36-45,phone,0
695,736659727,26-35,phone,1
696,571345640,26-35,phone,1
697,827881075,18-25,internet,0
698,739863385,18-25,internet,0
699,935902119,36-45,internet,0
700,916026185,56+,internet,1
701,422950746,26-35,internet,0
702,799603867,36-45,phone,1
703,373365746,26-35,phone,1
704,175838703,18-25,phone,1
705,932308110,56+,phone,0
706,618857858,46-55,phone,1
707,832409214,56+,phone,1
708,910951302,26-35,phone,1
709,910190522,26-35,internet,1
710,416250356,36-45,phone,1
711,703142006,36-45,internet,1
712,347913478,56+,phone,1
713,505428335,26-35,phone,0
714,785248337,18-25,internet,1
715,663747756,26-35,internet,0
716,725560813,36-45,phone,0
717,308645559,46-55,phone,1
718,153235349,26-35,internet,1
719,785144401,18-25,internet,1
720,395345158,56+,phone,0
721,719446923,36-45,phone,1
722,142738681,46-55,phone,1
723,474849758,26-35,phone,1
724,145548050,26-35,phone,1
725,140349917,46-55,internet,0
726,734539844,36-45,phone,1
727,172697813,26-35,internet,1
728,485942496,46-55,phone,1
729,780224408,36-45,internet,0
730,712225042,18-25,phone,0
731,615424491,36-45,internet,1
732,574134218,46-55,internet,0
733,390898102,46-55,phone,1
734,250776080,18-25,internet,1
735,835390362,26-35,internet,1
736,484608696,26-35,internet,1
737,640549581,56+,phone,0
738,738826848,26-35,internet,1
739,608209949,36-45,phone,0
740,371889281,36-45,internet,1
741,427113069,26-35,internet,0
742,502027810,26-35,phone,1
743,107127812,26-35,internet,0
744,434359095,56+,phone,0
745,406864567,36-45,phone,0
746,493310073,56+,phone,1
747,595129616,46-55,internet,1
748,161100429,18-25,internet,1
749,324327576,36-45,phone,1
750,913781249,36-45,phone,1
751,667979977,46-55,phone,1
752,665941244,18-25,internet,1
753,945402506,26-35,internet,1
754,343868948,26-35,internet,0
755,870173902,36-45,phone,1
756,247004421,36-45,phone,1
757,460380372,36-45,phone,0
758,126079637,26-35,phone,1
759,395164444,36-45,phone,0
760,532707069,46-55,phone,0
761,262717256,26-35,internet,1
762,366223253,36-45,phone,0
763,796215890,46-55,phone,0
764,342350966,36-45,phone,1
765,102370061,26-35,internet,0
766,639601199,26-35,internet,1
767,457993928,56+,phone,0
768,664392874,18-25,phone,0
769,501120725,26-35,internet,1
770,613585415,46-55,phone,1
771,812332531,26-35,internet,0
772,402261101,56+,phone,0
773,577974201,26-35,internet,0
774,337789324,46-55,internet,1
775,293582501,36-45,phone,1
776,572891478,18-25,internet,1
777,809739279,36-45,phone,1
778,895951557,46-55,internet,0
779,585188695,18-25,internet,0
780,898560071,36-45,phone,0
781,469765097,46-55,phone,0
782,728880399,36-45,phone,0
783,127191001,56+,phone,1
784,819905837,26-35,internet,1
785,969072582,56+,phone,0
786,465075411,46-55,phone,1
787,229176218,46-55,phone,0
788,520895595,36-45,phone,1
789,146408576,36-45,phone,0
790,292661584,26-35,internet,0
791,753505547,36-45,phone,1
792,524093775,36-45,phone,1
793,267670599,26-35,internet,1
794,312909198,26-35,internet,0
795,716629050,56+,phone,0
796,839099633,18-25,internet,1
797,871537599,36-45,phone,0
798,307393943,26-35,phone,1
799,300004386,56+,phone,1
800,170102317,26-35,internet,1
801,335967492,36-45,phone,1
802,332644949,36-45,phone,0
803,515615023,26-35,internet,1
804,444512580,56+,internet,0
805,635382384,56+,phone,1
806,903723539,46-55,internet,0
807,941407447,36-45,internet,1
808,618901996,36-45,phone,1
809,927933049,56+,phone,1
810,549104093,36-45,phone,1
811,162930173,56+,phone,0
812,838038430,56+,phone,0
813,312383525,18-25,internet,1
814,516259950,18-25,internet,1
815,762559957,56+,internet,1
816,181416511,26-35,internet,1
817,484858920,26-35,internet,0
818,168043015,36-45,phone,1
819,410251174,36-45,phone,1
820,843481843,56+,phone,1
821,568467639,36-45,phone,1
822,211894308,36-45,internet,1
823,495906281,18-25,internet,0
824,496947957,26-35,internet,0
825,619865761,36-45,phone,0
826,600687366,36-45,phone,1
827,563307254,36-45,phone,1
828,494996073,18-25,phone,1
829,585719245,56+,phone,0
830,231070974,18-25,phone,1
831,387939056,36-45,phone,0
832,459650606,46-55,phone,0
833,862400446,56+,phone,0
834,545874549,36-45,phone,1
835,194508134,26-35,internet,1
836,472922100,36-45,phone,0
837,343096087,18-25,internet,1
838,839037574,26-35,internet,1
839,766334133,26-35,internet,1
840,855361660,56+,internet,0
841,631062011,26-35,phone,0
842,940962649,26-35,internet,0
843,663340496,36-45,internet,1
844,118271437,46-55,internet,0
845,103046323,56+,phone,0
846,733294597,26-35,phone,1
847,549502417,56+,internet,0
848,924652342,26-35,internet,1
849,115659099,46-55,phone,1
850,349233927,36-45,phone,0
851,404063251,26-35,internet,1
852,116948416,46-55,phone,1
853,374514214,18-25,phone,1
854,695810183,36-45,phone,1
855,402427595,56+,phone,1
856,830225320,26-35,internet,0
857,792520783,26-35,internet,0
858,330616150,26-35,phone,1
859,280349397,26-35,internet,0
860,719095362,26-35,internet,1
861,201277014,36-45,phone,0
862,977527928,36-45,phone,0
863,768094841,26-35,internet,1
864,209606780,26-35,internet,0
865,456650885,26-35,internet,0
866,329739230,56+,internet,0
867,830875089,36-45,phone,1
868,952627814,26-35,internet,0
869,119750057,56+,phone,0
870,919204253,46-55,phone,0
871,448260431,26-35,internet,0
872,730332930,18-25,internet,1
873,365139984,26-35,internet,1
874,556228600,26-35,internet,1
875,602771072,18-25,phone,0
876,247018122,46-55,phone,0
877,669597197,26-35,internet,0
878,488154996,46-55,phone,0
879,500487939,26-35,internet,1
880,627068664,56+,phone,1
881,545203533,26-35,phone,1
882,580956934,56+,phone,0
883,336156191,36-45,phone,1
884,612637854,46-55,phone,1
885,514468112,56+,phone,1
886,266983537,36-45,phone,1
887,444925051,56+,phone,0
888,228655293,36-45,internet,1
889,812768477,36-45,phone,1
890,365735341,36-45,phone,1
891,788740639,36-45,phone,0
892,701873226,26-35,internet,1
893,480115155,56+,phone,0
894,884775622,26-35,phone,0
895,320365212,26-35,internet,1
896,264530640,26-35,internet,0
897,366399237,36-45,phone,1
898,540685620,26-35,internet,0
899,997242638,56+,phone,1
900,531745372,56+,internet,1
901,403500814,18-25,internet,1
902,468429993,26-35,internet,1
903,547060403,56+,internet,1
904,823786615,36-45,phone,0
905,980987404,18-25,internet,0
906,200635097,26-35,internet,1
907,991072535,36-45,phone,0
908,493662368,36-45,phone,0
909,905693651,36-45,phone,0
910,700839230,56+,phone,0
911,676483881,18-25,internet,0
912,743722188,36-45,internet,0
913,135822714,18-25,internet,1
914,819017664,56+,internet,0
915,545190081,36-45,phone,1
916,174755676,26-35,internet,1
917,955560062,56+,internet,1
918,670392105,56+,phone,1
919,272134310,36-45,phone,1
920,986306593,26-35,internet,1
921,141269293,36-45,phone,0
922,515173965,46-55,phone,0
923,922316248,18-25,internet,0
924,296502954,26-35,internet,1
925,580017226,36-45,phone,0
926,911962850,36-45,phone,1
927,636633092,26-35,internet,0
928,478201980,36-45,phone,1
929,685954702,36-45,phone,1
930,312363959,18-25,phone,1
931,454776527,56+,phone,1
932,841978312,46-55,phone,0
933,907525954,46-55,internet,1
934,836124281,26-35,internet,0
935,739660383,56+,internet,0
936,157758069,56+,internet,1
937,946710011,56+,phone,0
938,247334351,26-35,internet,0
